Date,Open,High,Low,Close,Volume,DJI,Nasdaq,Stochastic_Oscillator,Stochastic_Move,RSI,RSI_Move,Wiki_Traffic,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_5_day_RSI,Wiki_RSI_Move,Google,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_5_day_RSI,Google_RSI_Move,News_Sentiment,Senti_Move,Target1,Target2,Target3,Target4,Target5
1/16/13,25.93,26.23,25.82,26.200001,4152900,13511.23,8710.55957,99.10717235,1,76.14109464,1,3938,3591.5,3426.666667,3363.5,3322.2,3359.166667,3348.714286,3322.75,3289.333333,3275.1,3555,3474.933333,3395.627273,114.922179,118.5359099,120.2406033,124.738676,781,24.73867596,1,1,1,1,1,64.90166415,1,21.66666667,23.4,26,21.27777778,18.44444444,16.77777778,15.46031746,14.36111111,13.65432099,12.90707071,21.40740741,17.75555556,14.49972452,83.33333333,117.4698795,167.8666458,304.6875,14.55555556,160.877193,0,1,1,0,1,68.91290528,0,0,0,1,1,0,0,0
1/17/13,26.23,26.24,25.6,25.76,3477600,13596.02,8766.540039,85.75667233,0,76.93918722,1,4938,4438,4040.333333,3804.5,3678.4,3591.5,3584.714286,3547.375,3502.222222,3454.2,4182.333333,3860.8,3723.981818,122.2176388,134.2431492,142.9564009,155.5765595,1764,55.57655955,1,1,1,1,1,96.02067183,1,26,23.83333333,24.26666667,26,22.22222222,19.7037037,18.0952381,16.77777778,15.65432099,14.88888889,26,20.96296296,16.90909091,107.1428571,117,174.6268657,365.625,18.88888889,233.3333333,1,0,1,1,1,74.88290398,1,0,0,0,0,0,0,1
1/18/13,25.65,25.85,24.76,24.790001,6662900,13649.7,8792.629883,55.79272689,0,65.6529517,0,4049,4493.5,4308.333333,4042.5,3853.4,3740.166667,3656.857143,3642.75,3603.111111,3556.9,4044.666667,3801.933333,3646.372727,93.98065764,105.0760367,113.8350811,130.7394253,952,30.73942525,0,1,0,0,0,65.58603491,0,21.66666667,23.83333333,23.11111111,23.61666667,25.13333333,22.12962963,19.98412698,18.54166667,17.32098765,16.25555556,22.96666667,22.03703704,17.23939394,93.75,86.20689655,133.2877649,69.44444444,-9.533333333,-163.8541667,0,0,1,0,0,67.20966894,0,-0.5,0,0,0,1,0,1
1/22/13,24.790001,25.33,24.290001,25.200001,9634900,13712.21,8832.75,59.53311284,1,66.0777505,1,3237,3643,4074.666667,4040.5,3881.4,3750.666667,3668.285714,3604.375,3597.666667,3566.5,3772.666667,3647.933333,3506.590909,79.44208115,83.39774308,90.76125053,99.75346687,-8,-0.246533128,0,0,0,0,0,51.97628458,0,11.05,16.35833333,19.57222222,20.09583333,21.10333333,22.78611111,20.5468254,18.86736111,17.70925926,16.69388889,17.08055556,20.43888889,15.66772727,56.45756458,52.3613963,66.19188659,43.96551724,-14.08333333,-227.8186275,0,0,0,0,0,15.03759398,0,1,1,1,1,0,1,0
1/23/13,25.5,25.59,24.879999,25,5518500,13779.33,8828.660156,46.55172414,0,58.01979049,0,3374,3305.5,3553.333333,3899.5,3907.2,3796.833333,3696.857143,3631.5,3578.777778,3575.3,3724.333333,3712.266667,3538.7,94.95309568,86.35339885,94.36970324,85.67800914,-564,-14.32199086,1,0,1,1,0,51.82667799,0,11.7,11.375,14.80555556,17.60416667,18.41666667,19.53611111,21.20238095,19.44097222,18.07098765,17.10833333,15.63611111,17.96888889,16.125,79.02439024,63.52941176,68.38772528,54,-9.966666667,-161.2254902,1,0,0,1,1,21.2962963,1,-0.667,0,1,0,1,1,1
1/24/13,25.32,26.370001,25.190001,25.540001,7241900,13825.33,8856.589844,60.09615385,1,56.28866621,0,3236,3305,3282.333333,3474,3766.8,3795.333333,3716.714286,3639.25,3587.555556,3544.5,3394.666667,3683.466667,3488.409091,98.58840256,85.90846342,91.29637466,65.53260429,-1702,-34.46739571,0,0,0,1,0,38.20564516,0,26.65,19.175,16.46666667,17.76666667,19.41333333,19.78888889,20.55238095,21.88333333,20.24197531,18.92888889,20.72777778,21.16111111,20.33272727,161.8421053,137.2767857,140.7900916,102.5,0.65,8.125,1,1,1,1,1,57.14285714,1,-1,0,0,0,0,1,1
1/25/13,24.889999,25.559999,24.35,25.5,7507900,13895.98,8904.530273,58.17302885,0,45.59194399,0,3231,3233.5,3280.333333,3269.5,3425.4,3677.5,3714.714286,3656,3593.888889,3551.9,3256.666667,3588.2,3493.554545,98.4960878,94.32475039,90.9653988,79.79748086,-818,-20.20251914,0,0,0,0,1,6.915699142,0,24.7,25.675,21.01666667,18.525,19.15333333,20.29444444,20.49047619,21.07083333,22.1962963,20.68777778,20.58333333,21.17555556,21.41727273,117.5257732,128.959276,119.3941672,114,3.033333333,45.5,0,1,1,0,1,48,0,-1,0,0,1,0,0,0
1/28/13,25.34,25.5,24.540001,24.799999,4788700,13881.93,8880.009766,24.51913462,0,40.31180366,0,2985,3108,3150.666667,3206.5,3212.6,3352,3578.571429,3623.5,3581.444444,3533,3132.666667,3278.6,3433.363636,94.74185358,92.91539563,84.48910275,92.2150139,-252,-7.784986098,0,0,0,0,1,10.23916293,1,7.238095238,15.96904762,19.52936508,17.57202381,16.26761905,17.16746032,18.4292517,18.83392857,19.53386243,20.70047619,14.12738095,15.1815873,18.25277056,37.06262446,44.49388209,34.9658393,65.50312433,-3.811904762,-50.45168067,0,0,0,0,0,34.18910457,0,0,1,0,0,0,0,0
1/29/13,24.59,24.719999,23.91,23.959999,4419500,13954.42,8935.639648,2.032478849,0,34.28030195,0,2951,2968,3055.666667,3100.75,3155.4,3169,3294.714286,3500.125,3548.777778,3518.4,3050.833333,3125.4,3415.236364,96.57467001,93.52221588,83.87335152,87.46295199,-423,-12.53704801,0,0,0,1,0,24.46428571,1,6.857142857,7.047619048,12.93174603,16.36130952,15.42904762,14.69920635,15.69455782,16.9827381,17.5031746,18.26619048,13.19325397,13.13079365,16.19181818,53.02565361,44.44307274,37.54008186,58.60805861,-4.842857143,-57.34962406,0,0,0,1,0,44.07669021,1,0,0,1,0,1,0,0
1/30/13,24.190001,24.190001,23.620001,24.08,3277600,13910.42,8904.30957,16.72723636,1,35.50189228,1,2916,2933.5,2950.666667,3020.75,3063.8,3115.5,3132.857143,3247.375,3435.222222,3485.5,2985.833333,3075.6,3381.954545,98.82512427,95.17592532,83.66088079,90.11124845,-320,-9.888751545,0,0,0,1,1,0,0,7.619047619,7.238095238,7.238095238,11.60357143,14.61285714,14.12738095,13.6877551,14.68511905,15.94232804,16.5147619,10.27539683,12.82571429,14.89735931,105.2631579,52.13934239,46.1347712,28.58929688,-19.03095238,-267.6227679,1,0,0,1,0,44.25295064,1,0,0,0,0,1,0,1
