Date,Open,High,Low,Close,Volume,DJI,Nasdaq,Stochastic_Oscillator,Stochastic_Move,RSI,RSI_Move,Wiki_Traffic,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_5_day_RSI,Wiki_RSI_Move,Google,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_5_day_RSI,Google_RSI_Move,News_Sentiment,Senti_Move,Target1,Target2,Target3,Target4,Target5
1/16/13,20.91,21.18,20.879999,18.843567,39685100,13511.23,3117.54,91.97866777,0,72.65310938,0,2605,2531.5,2447.333333,2395.25,2403,2382.666667,2374.142857,2362.5,2340,2308.6,2465.166667,2427.133333,2362.490909,106.4423863,108.406159,112.83895,107.0254725,171,7.025472473,1,1,1,1,0,72.68907563,1,93.67346939,76.59183673,64.65306122,69.11479592,70.25183673,72.47653061,73.90845481,72.23239796,75.67324263,79.02591837,77.30102041,76.71591837,81.68910946,144.8863636,133.3395307,118.5351228,125.2319109,18.87346939,31.71544089,1,1,1,1,1,54.53259871,1,-0.193,0,0,0,0,1,1
1/17/13,20.790001,21.030001,20.780001,18.771884,41951400,13596.02,3136,87.70057212,0,78.76111526,1,2598,2601.5,2553.666667,2485,2435.8,2435.5,2413.428571,2402.125,2388.666667,2365.8,2522.666667,2468,2408.018182,101.7360658,106.6590032,109.8148618,116.0339437,359,16.03394372,0,1,1,0,1,64.43661972,0,77.14285714,85.40816327,76.7755102,67.7755102,70.72040816,71.40034014,73.14314869,74.3127551,72.77800454,75.82020408,70.89795918,72.54884354,76.06068646,100.4784689,109.0814648,101.7444599,93.50649351,-5.357142857,-9.93354401,0,1,0,0,0,50.98561077,0,0.27,1,0,1,1,1,1
1/18/13,20.85,21.040001,20.809999,18.834606,42835000,13649.7,3134.71,91.44386852,1,86.8545024,1,2596,2597,2599.666667,2564.25,2507.2,2462.5,2458.428571,2436.25,2423.666667,2409.4,2574.833333,2489.2,2443.327273,99.85895628,103.5417996,107.7446667,113.9096095,317,13.90960948,0,1,1,0,0,97.6,1,62.81632653,69.97959184,77.87755102,73.28571429,66.78367347,69.40306122,70.17405248,71.85229592,73.03537415,71.78183673,69.79591837,68.08571429,70.15174397,80.66037736,94.05940594,87.5100574,154.0540541,22.04081633,45.91836735,0,1,0,0,1,42.15662357,0,0.132,0,0,1,0,1,0
1/22/13,20.950001,21,20.610001,18.700202,35955400,13712.21,3143.18,73.50436983,0,79.32700021,0,2491,2543.5,2561.666667,2572.5,2549.6,2504.5,2466.571429,2462.5,2442.333333,2430.4,2545.333333,2501.8,2441.418182,97.24137931,97.70160025,102.4934167,101.3425549,33,1.342554923,0,0,1,0,0,74.09090909,0,53.45054945,58.13343799,64.46991104,71.77080063,69.31868132,64.56148613,67.12413097,68.0836146,69.80765742,71.07689168,65.66405024,62.3392988,67.87210218,82.907745,77.10843373,75.20102271,89.81745278,-6.059654631,-8.015416179,0,0,0,1,0,56.80569136,1,0.395,1,1,0,0,0,1
1/23/13,20.889999,20.889999,20.610001,18.476194,37130100,13779.33,3153.67,49.09102377,0,58.53663516,0,2554,2522.5,2547,2559.75,2568.8,2550.333333,2511.571429,2477.5,2472.666667,2453.5,2557.833333,2551.066667,2471.772727,100.2748331,99.4238555,104.0961891,98.04222649,-51,-1.957773512,1,0,1,1,0,64.81481481,0,59.78021978,56.61538462,58.68236525,63.29748823,69.37268446,67.72893773,63.87844808,66.20614207,67.16101518,68.80491366,62.12506541,66.13919414,67.16406023,101.8708423,86.17256237,86.88364915,63.81766382,-33.89324961,-31.03777437,1,0,1,1,0,50.16726311,0,0.199,0,1,0,1,1,1
1/24/13,20.85,21.1,20.82,18.834606,47256000,13825.33,3130.38,85.45456389,1,64.76686455,1,2672,2613,2572.333333,2578.25,2582.2,2586,2567.714286,2531.625,2499.111111,2492.6,2609.5,2603.2,2525.218182,103.8745627,103.4776547,107.197304,102.8483449,74,2.848344881,1,1,1,1,1,61.3559322,0,60.48351648,60.13186813,57.9047619,59.13265306,62.73469388,67.89115646,66.69387755,63.45408163,65.57029478,66.49326531,59.58294087,66.40962847,65.4005837,104.4534413,96.41159101,90.9618684,78.4045584,-16.65934066,-16.14277196,1,0,1,1,1,14.88273204,0,0.158,0,1,1,1,1,0
1/25/13,21.1,21.25,21.049999,18.95109,28354800,13895.98,3149.71,91.45298903,1,66.5025053,1,2513,2592.5,2579.666667,2557.5,2565.2,2570.666667,2575.571429,2560.875,2529.555556,2500.5,2542.666667,2559.133333,2502.772727,97.41568678,97.96507095,100.4999,96.8027735,-83,-3.197226502,0,1,0,0,0,40.49217002,0,35.16483516,47.82417582,51.80952381,52.21978022,54.33908948,58.13971743,63.21596771,62.75274725,60.31083203,62.52974882,46.53479853,53.54474097,57.55430998,67.87330317,64.71369966,56.23696853,55.98040686,-27.65149137,-45.70494441,0,0,0,0,0,12.54901961,0,0.194,1,1,1,0,0,1
1/28/13,21.209999,21.26,21.049999,18.870447,30431400,13881.93,3154.3,83.05077067,0,69.94818833,1,2414,2463.5,2533,2538.25,2528.8,2540,2548.285714,2555.375,2544.555556,2518,2496.833333,2514.8,2499.090909,95.30201342,95.46029737,95.86973789,96.90887194,-77,-3.091128061,0,0,0,0,1,33.27205882,0,39.13043478,37.14763497,44.92626214,48.63975155,49.60191113,51.8043137,55.42410562,60.20527609,60.12804587,58.1927923,45.4699793,49.26953792,54.72690912,87.09924422,78.88896595,67.24275161,73.20866705,-14.32011467,-17.35771475,1,0,0,1,1,24.07582825,1,0.714,1,0,0,0,0,1
1/29/13,20.98,20.99,20.65,18.619559,35300200,13954.42,3153.66,52.47528433,0,60.73064945,0,2590,2502,2505.666667,2547.25,2548.6,2539,2547.142857,2553.5,2559.222222,2549.1,2561.5,2549.2,2556.536364,103.3657044,101.6244213,101.6044879,101.4095536,36,1.409553641,1,0,1,1,1,58.04878049,1,50.43478261,44.7826087,41.57668419,46.30339226,48.99875776,49.74072305,51.6086664,54.80044024,59.1196657,59.15871954,47.68052238,49.87953496,57.57254919,121.305447,102.9307372,85.25333712,84.36700767,-9.345437172,-11.1787526,1,0,1,1,1,46.83361425,1,0.068,0,1,0,0,0,0
1/30/13,20.860001,20.870001,20.4,18.440351,35260400,13910.42,3142.31,29.89681822,0,55.88235156,0,2873,2731.5,2625.666667,2597.5,2612.4,2602.666667,2586.714286,2587.875,2589,2590.6,2689.333333,2656.733333,2641.945455,109.4198299,109.9755015,110.9009496,107.5224551,201,7.52245509,1,1,1,1,1,69.10179641,1,40,45.2173913,43.1884058,41.18251314,45.04271381,47.4989648,48.34919118,50.1575831,53.15594688,57.20769913,40.78834209,45.99917184,54.07902656,92.61744966,88.80459595,69.92065859,66.13372093,-20.48351648,-27.38438033,0,1,0,0,0,30.88007094,0,0.227,1,1,0,0,0,0
1/31/13,20.620001,20.9,20.559999,18.431391,29992500,13860.58,3142.13,25.80642877,0,52.88888492,0,2719,2796,2727.333333,2649,2621.8,2630.166667,2619.285714,2603.25,2602.444444,2602,2672.333333,2647.933333,2623.272727,99.69445123,103.7073766,104.4965411,108.1973737,206,8.197373657,0,1,0,0,1,52.69804822,0,42.60869565,41.30434783,44.34782609,43.04347826,41.46774964,44.63704412,46.80035492,47.63162924,49.31881783,52.10122176,42.89855072,44.23137442,50.37530792,96.07843137,102.7514057,81.78060747,121.1684783,7.443860487,9.022861197,1,1,0,1,1,33.33570894,1,0.2,0,1,1,1,1,0
2/1/13,20.73,20.91,20.6,18.66436,25754100,14009.79,3179.1,50.00002855,1,57.08503524,1,2305,2512,2632.333333,2621.75,2580.2,2569,2583.714286,2580,2570.111111,2572.7,2516.166667,2516.2,2524.027273,87.56489806,89.33416014,89.59458934,95.48467274,-109,-4.515327258,0,0,0,0,0,40.76376554,0,26.08695652,34.34782609,36.23188406,39.7826087,39.65217391,38.90428412,41.9870316,44.21118012,45.23777672,46.9956317,35.2173913,36.3408186,43.19405439,72,65.78947368,55.50932199,66.66666667,-13.04347826,-31.98851025,0,0,0,0,0,39.87638534,1,-0.119,0,1,1,0,1,1
2/4/13,20.870001,21.129999,20.790001,18.655399,32053300,13880.08,3131.17,48.83715229,0,46.23115296,0,2598,2451.5,2540.666667,2623.75,2617,2583.166667,2573.142857,2585.5,2582,2572.9,2615.166667,2586.133333,2577.463636,102.2566256,99.27397784,100.9755529,100.3088803,8,0.308880309,1,0,1,1,1,56.96969697,1,27.40740741,26.74718196,32.03435319,34.0257649,37.30756844,37.6113795,37.26187316,40.16457858,42.34409427,43.45473979,31.81964573,35.57058508,40.53704299,85.55630027,73.46339779,63.07115758,54.34227331,-23.0273752,-38.69483487,1,0,0,1,0,36.10687023,0,-0.286,0,1,1,1,1,0
2/5/13,20.879999,21.200001,20.879999,18.888368,24952600,13979.3,3171.58,79.06972894,1,52.23216021,1,2663,2630.5,2522,2571.25,2631.6,2624.666667,2594.571429,2584.375,2594.111111,2590.1,2601.833333,2632.333333,2603.354545,105.590801,101.1931905,102.8145631,92.69056735,-210,-7.309432649,1,0,1,1,0,53.01902399,0,31.51851852,29.46296296,28.33762748,31.90539452,33.52431562,36.34272678,36.74097078,36.54395383,39.20390524,41.26153669,31.77643586,35.37788513,39.49007884,111.224973,94.01688874,76.38716598,78.7962963,-8.481481481,-9.05430485,1,0,0,1,1,22.97427875,0,0.291,1,0,1,1,1,1
2/6/13,21.049999,21.219999,20.98,18.986932,27848400,13986.52,3168.48,91.8604594,1,53.4782556,1,2965,2814,2742,2632.75,2650,2687.166667,2673.285714,2640.875,2626.666667,2631.2,2743.5,2742.733333,2691.890909,108.1327498,111.8867925,112.6862268,109.0474439,246,9.047443913,1,1,1,1,1,53.74592834,1,50.7037037,41.11111111,36.54320988,33.92914654,35.66505636,36.38754697,38.39429492,38.4863124,38.11725937,40.35388508,39.52066559,39.25077831,42.23567029,138.75,142.1663356,125.6476386,118.9984883,8.095008052,10.49352896,1,1,1,1,1,62.23359223,1,0.172,0,1,1,0,1,1
